Lx  lambda  chemical  theta  bondD  Energy_GS  winding  eA  eB  MA  MB  U4  Oflip  Oflipp  charge
19  0.20  0.40  0.00  400  -17.741958  3.000000  5.858931  5.858931  -0.769438  -0.769438  0.943107  11.717862  0.000000  0.000000

19  -0.20  0.50  0.00  400  -25.736035  -1.000000  7.531513  7.531513  -1.605702  -1.605702  0.955742  15.063027  0.000000  -0.000000

19  0.20  0.50  0.00  400  -19.235489  15.000000  1.464733  1.464733  -0.047681  -0.047681  0.772427  2.929465  0.000000  -0.000000

19  -0.20  0.60  0.00  400  -27.977447  -1.000000  7.676336  7.676336  -0.584807  -0.584807  0.956577  15.352673  0.000000  -0.000000

19  0.20  0.60  0.00  400  -22.800000  19.000000  0.000000  0.000000  0.000000  0.000000  -39893288818334518126575616.000000  0.000000  -0.000000  -0.000000

19  -0.20  0.70  0.00  400  -28.824213  5.000000  5.373435  5.373435  -0.344382  -0.344382  0.937966  10.746871  -0.000000  -0.000000

19  0.20  0.70  0.00  400  -26.600000  19.000000  0.000000  0.000000  -0.000000  -0.000000  -269319559518931189655142400.000000  0.000000  0.000000  0.000000

19  -0.20  0.80  0.00  400  -30.517745  17.000000  0.767634  0.767634  0.146951  0.146951  0.565765  1.535267  0.000000  0.000000

19  0.20  0.80  0.00  400  -30.400000  19.000000  0.000000  0.000000  -0.000000  -0.000000  -66868165735220287499141120.000000  0.000000  0.000000  0.000000

19  -0.20  0.90  0.00  400  -34.200000  19.000000  0.000000  0.000000  0.000000  0.000000  -2692335207763668491042816.000000  0.000000  -0.000000  0.000000

19  0.20  0.90  0.00  400  -34.200000  19.000000  0.000000  0.000000  -0.000000  -0.000000  -159732547504659111553794048.000000  0.000000  0.000000  0.000000

19  -0.20  1.00  0.00  400  -38.000000  19.000000  0.000000  0.000000  0.000000  0.000000  -310304848223022654473371648.000000  0.000000  0.000000  -0.000000

19  0.20  1.00  0.00  400  -38.000000  19.000000  0.000000  0.000000  0.000000  -0.000000  -307332487885494609038540800.000000  0.000000  0.000000  0.000000

19  -0.30  0.00  0.00  400  -28.799278  -19.000000  12.764422  12.764422  4.543866  4.543866  0.973886  25.528845  0.000000  -0.000000

19  0.30  0.00  0.00  400  -14.454098  -19.000000  11.241040  11.241040  -1.308576  -1.308576  0.970347  22.482079  -0.000000  -0.000000

19  -0.30  0.10  0.00  400  -28.799279  -19.000000  12.764422  12.764422  -4.543866  -4.543866  0.973886  25.528845  -0.000000  0.000000

19  0.30  0.10  0.00  400  -11.750134  -3.000000  7.583318  7.583318  0.574847  0.574847  0.956044  15.166635  0.000000  -0.000000

19  -0.30  0.20  0.00  400  -28.799278  -19.000000  12.764422  12.764422  -4.543866  -4.543866  0.973886  25.528845  -0.000000  -0.000000

19  0.30  0.20  0.00  400  -13.049725  -1.000000  7.048000  7.048000  -0.115219  -0.115219  0.952705  14.096000  0.000000  -0.000000

19  -0.30  0.30  0.00  400  -28.799279  -19.000000  12.764422  12.764422  4.543866  4.543866  0.973886  25.528845  0.000000  0.000000

19  0.30  0.30  0.00  400  -14.377170  3.000000  5.789051  5.789051  -0.700114  -0.700114  0.942420  11.578102  -0.000000  0.000000

19  -0.30  0.40  0.00  400  -26.420107  -5.000000  8.856314  8.856314  -0.482728  -0.482728  0.962362  17.712627  -0.000000  0.000000

19  0.30  0.40  0.00  400  -15.716439  13.000000  2.170894  2.170894  0.094322  0.094322  0.846453  4.341788  -0.000000  0.000000

19  -0.30  0.50  0.00  400  -27.655363  -3.000000  8.275818  8.275818  -1.199267  -1.199267  0.959722  16.551636  -0.000000  -0.000000

19  0.30  0.50  0.00  400  -19.000000  19.000000  0.000000  0.000000  -0.000000  -0.000000  -73284031465649543135100928.000000  0.000000  -0.000000  0.000000

19  -0.30  0.60  0.00  400  -29.521463  -1.000000  7.763686  7.763686  0.307414  0.307414  0.957065  15.527372  0.000000  -0.000000

19  0.30  0.60  0.00  400  -22.800000  19.000000  0.000000  0.000000  0.000000  0.000000  -517101435270996371437518848.000000  0.000000  0.000000  0.000000

19  -0.30  0.70  0.00  400  -30.849316  1.000000  6.987317  6.987317  -0.379932  -0.379932  0.952295  13.974635  0.000000  0.000000

