# Finite size scaling
# lambda = -1.0
# L   Nf   ground state E    Oflip            Oflipp               MA              MB             eA             eB 
  6   8   -10.506926661935   6.522576449453   5.551115123126e-16  -2.503227698409 2.503227698409 3.261288224727 3.261288224727
  7   10  -13.046294288045   8.158883934156   1.720845688169e-15  -3.163429667433 3.163429667433 4.079441967078 4.079441967078
  8   12  -15.584425848622   9.797474532353  -3.816391647149e-16  -3.828111502636 3.828111502636 4.898737266177 4.898737266177
  9   14  -18.122901301379   11.435862073453  4.163336342344e-17  -4.492185830214 4.492185830214 5.717931036727 5.717931036727
 10   16  -20.661331218102   13.074492525986  3.400058012915e-16  -5.156686611438 5.156686611438 6.537246262993 6.537246262993


# lambda = 0.0
# L   Nf   ground state E    Oflip            Oflipp              MA              MB             eA             eB 
  6   8   -4.681054477118    5.171524691202 -4.579669976579e-15  -0.853079379567 0.853079379567 2.585762345601 2.585762345601 
  7   10  -5.794074384987    6.417801763801  8.604228440845e-16  -1.005106138449 1.005106138449 3.208900881900 3.208900881900
  8   12  -6.906751395036    7.662185689672  4.926614671774e-16  -1.146317782842 1.146317782842 3.831092844836 3.831092844836
  9   14  -8.020439595408    8.907507524507  6.245004513517e-16  -1.277326260253 1.277326260253 4.453753762254 4.453753762254
 10   16  -9.134531414502   10.152928529126 -3.920475055708e-16  -1.400392426593 1.400392426593 5.076464264563 5.076464264563
