Lx  lambda  mu_y  theta  bondD  Energy_GS  winding  eA  eB  MA  MB  U4  Oflip  Oflipp  charge  
20  -1.00  2.40  0.00  42  -100.800000  20.000000  0.000000  0.000000  -0.000000  -0.000000  -63021466571139860830093312.000000  0.000000  -0.000000  0.000000
20  -1.00  1.81  0.00  42  -76.965600  12.101352  3.981017  3.955435  -0.000000  0.000000  0.916269  7.936452  -0.000000  -0.000000
20  -1.00  5.10  0.00  42  -214.200000  20.000000  0.000000  0.000000  -0.000000  0.000000  -924470519742009750501457920.000000  0.000000  -0.000000  0.000000
20  -1.00  0.03  0.00  42  -51.122774  -10.396886  16.369443  16.369443  -13.131934  13.131934  0.979637  32.738886  -0.000000  -0.000000
20  -1.00  0.03  0.00  63  -51.122777  -10.396886  16.369443  16.369443  -13.131934  13.131934  0.979637  32.738886  -0.000000  -0.000000
20  -1.00  4.90  0.00  42  -205.800000  20.000000  0.000000  0.000000  -0.000000  0.000000  -107293436116840826412204032.000000  0.000000  0.000000  -0.000000
20  -1.00  0.95  0.00  42  -56.792262  -3.151146  12.155271  12.719879  0.000000  -0.000000  0.972577  24.875149  0.000000  0.000000
20  -1.00  0.95  0.00  63  -56.792303  -3.151145  12.155270  12.719879  0.000000  -0.000000  0.972577  24.875149  0.000000  0.000000
20  -1.00  0.95  0.00  84  -56.792303  -3.151145  12.155270  12.719879  0.000000  -0.000000  0.972577  24.875149  0.000000  0.000000
20  -1.00  0.24  0.00  42  -51.122774  -10.396886  16.369443  16.369443  -13.131934  13.131934  0.979637  32.738886  -0.000000  0.000000
20  -1.00  0.24  0.00  63  -51.122777  -10.396886  16.369443  16.369443  -13.131934  13.131934  0.979637  32.738886  -0.000000  0.000000
20  -1.00  0.68  0.00  42  -53.520877  -5.217010  13.205813  14.150282  -0.000000  0.000000  0.974759  27.356095  0.000000  -0.000000
20  -1.00  0.68  0.00  63  -53.520941  -5.217009  13.205813  14.150282  -0.000000  0.000000  0.974759  27.356095  0.000000  0.000000
20  -1.00  0.68  0.00  84  -53.520941  -5.217008  13.205813  14.150282  0.000000  -0.000000  0.974759  27.356095  0.000000  -0.000000
20  -1.00  0.68  0.00  105  -53.520941  -5.217008  13.205813  14.150282  -0.000000  0.000000  0.974759  27.356095  -0.000000  0.000000
20  -1.00  0.73  0.00  42  -54.020877  -5.217010  13.205813  14.150282  -0.000000  0.000000  0.974759  27.356095  0.000000  0.000000
