Lx  lambda  mu_y  theta  bondD  Energy_GS  winding  eA  eB  MA  MB  U4  Oflip  Oflipp  charge  
24  -1.00  0.91  0.00  100  -67.237646  -4.080256  15.100079  15.100079  0.970717  -0.970717  0.977925  30.200157  -1.378428  0.000000
24  -1.00  1.98  0.00  50  -99.000000  24.000000  0.000000  0.000000  0.000000  -0.000000  -12408469999571632098639872.000000  0.000000  0.000000  0.000000
24  -1.00  1.74  0.00  50  -88.961348  12.248713  5.948103  5.905746  -0.000000  0.000000  0.943960  11.853849  0.000000  -0.000000
24  -1.00  1.74  0.00  75  -88.961348  12.248713  5.948103  5.905746  -0.000000  0.000000  0.943960  11.853849  -0.000000  0.000000
24  -1.00  1.57  0.00  50  -83.033179  6.939394  8.730960  8.730960  0.143837  -0.143837  0.961822  17.461920  -1.885066  0.000000
24  -1.00  1.57  0.00  75  -83.033181  6.939394  8.730960  8.730960  0.143837  -0.143837  0.961822  17.461920  -1.885066  -0.000000
24  -1.00  0.76  0.00  50  -65.024021  -5.153226  15.381005  16.110541  0.000000  0.000000  0.978328  31.491546  0.000000  -0.000000
24  -1.00  0.76  0.00  75  -65.024061  -5.153226  15.381005  16.110541  0.000000  -0.000000  0.978328  31.491546  0.000000  0.000000
24  -1.00  0.76  0.00  100  -65.024061  -5.153226  15.381005  16.110541  -0.000000  0.000000  0.978328  31.491546  -0.000000  0.000000
24  -1.00  1.06  0.00  50  -69.913098  -1.750975  13.696546  13.696546  0.666558  -0.666558  0.975663  27.393092  -1.567596  0.000000
24  -1.00  1.06  0.00  75  -69.913121  -1.750975  13.696546  13.696546  0.666558  -0.666558  0.975663  27.393092  -1.567596  0.000000
24  -1.00  1.06  0.00  100  -69.913122  -1.750975  13.696546  13.696546  0.666558  -0.666558  0.975663  27.393092  -1.567596  -0.000000
24  -1.00  1.97  0.00  50  -98.500000  24.000000  0.000000  0.000000  0.000000  -0.000000  -53562076747552403373424640.000000  0.000000  -0.000000  0.000000
24  -1.00  2.02  0.00  50  -101.000000  24.000000  0.000000  0.000000  0.000000  -0.000000  -54833720795412961737834496.000000  0.000000  -0.000000  0.000000
24  -1.00  2.07  0.00  50  -103.500000  24.000000  0.000000  0.000000  0.000000  -0.000000  -76914186269094131078791168.000000  0.000000  -0.000000  0.000000
24  -1.00  1.55  0.00  50  -82.393179  6.939394  8.730960  8.730960  -0.143837  0.143837  0.961822  17.461920  1.885066  -0.000000
24  -1.00  1.55  0.00  75  -82.393181  6.939394  8.730960  8.730960  -0.143837  0.143837  0.961822  17.461920  1.885066  0.000000
