Lx  lambda  mu_y  theta  bondD  Energy_GS  winding  eA  eB  MA  MB  U4  Oflip  Oflipp  charge
12  -1.00  0.20  0.00  30  -30.815141  -6.169822  9.814611  9.814611  -7.814985  7.814985  0.966037  19.629222  -0.000000  0.000000
12  -1.00  0.22  0.00  30  -30.815141  -6.169822  9.814611  9.814611  7.814985  -7.814985  0.966037  19.629222  0.000000  -0.000000
12  -1.00  0.24  0.00  30  -30.815141  -6.169822  9.814611  9.814611  -7.814985  7.814985  0.966037  19.629222  0.000000  -0.000000
12  -1.00  0.26  0.00  30  -30.815141  -6.169822  9.814611  9.814611  7.814985  -7.814985  0.966037  19.629222  0.000000  -0.000000
12  -1.00  0.28  0.00  30  -30.815141  -6.169822  9.814611  9.814611  7.814985  -7.814985  0.966037  19.629222  -0.000000  -0.000000
12  -1.00  0.30  0.00  30  -30.835372  -4.991302  8.017008  10.488722  -0.000000  0.000000  0.958422  18.505730  0.000000  0.000000
12  -1.00  0.32  0.00  30  -30.875372  -4.991302  10.488722  8.017008  0.000000  -0.000000  0.968220  18.505730  -0.000000  -0.000000
12  -1.00  0.34  0.00  30  -30.915372  -4.991302  8.017008  10.488722  0.000000  -0.000000  0.958422  18.505730  -0.000000  -0.000000
12  -1.00  0.36  0.00  30  -30.955372  -4.991302  8.017008  10.488722  0.000000  -0.000000  0.958422  18.505730  -0.000000  0.000000
12  -1.00  0.38  0.00  30  -30.995372  -4.991302  10.488722  8.017008  -0.000000  0.000000  0.968220  18.505730  0.000000  -0.000000
12  -1.00  0.40  0.00  30  -31.039950  -4.108829  8.793131  8.793131  1.814527  -1.814527  0.962092  17.586262  -0.638932  0.000000
12  -1.00  0.42  0.00  30  -31.119950  -4.108829  8.793131  8.793131  1.814527  -1.814527  0.962092  17.586262  -0.638932  0.000000
12  -1.00  0.44  0.00  30  -31.199950  -4.108829  8.793131  8.793131  1.814527  -1.814527  0.962092  17.586262  -0.638932  -0.000000
12  -1.00  0.46  0.00  30  -31.279950  -4.108829  8.793131  8.793131  1.814527  -1.814527  0.962092  17.586262  -0.638932  0.000000
12  -1.00  0.48  0.00  30  -31.359950  -4.108829  8.793131  8.793131  1.814527  -1.814527  0.962092  17.586262  -0.638932  0.000000
12  -1.00  0.50  0.00  30  -31.439950  -4.108829  8.793131  8.793131  -1.814527  1.814527  0.962092  17.586262  0.638932  0.000000
12  -1.00  0.52  0.00  30  -31.519950  -4.108829  8.793131  8.793131  1.814527  -1.814527  0.962092  17.586262  -0.638932  0.000000
12  -1.00  0.54  0.00  30  -31.599950  -4.108829  8.793131  8.793131  -1.814527  1.814527  0.962092  17.586262  0.638932  0.000000
12  -1.00  0.56  0.00  30  -31.698430  -3.267585  7.770295  8.851307  0.000000  -0.000000  0.957102  16.621602  0.000000  -0.000000
12  -1.00  0.58  0.00  30  -31.818430  -3.267585  8.851307  7.770295  0.000000  -0.000000  0.962341  16.621602  -0.000000  -0.000000
12  -1.00  0.60  0.00  30  -31.938430  -3.267585  7.770295  8.851307  0.000000  -0.000000  0.957102  16.621602  0.000000  -0.000000
12  -1.00  0.62  0.00  30  -32.058430  -3.267585  8.851307  7.770295  -0.000000  0.000000  0.962341  16.621602  -0.000000  0.000000
12  -1.00  0.64  0.00  30  -32.178430  -3.267585  7.770295  8.851307  0.000000  -0.000000  0.957102  16.621602  0.000000  -0.000000
12  -1.00  0.66  0.00  30  -32.298430  -3.267585  8.851307  7.770295  -0.000000  0.000000  0.962341  16.621602  0.000000  -0.000000
12  -1.00  0.68  0.00  30  -32.418430  -3.267585  7.770295  8.851307  -0.000000  0.000000  0.957102  16.621602  0.000000  -0.000000
12  -1.00  0.70  0.00  30  -32.538430  -3.267585  8.851307  7.770295  -0.000000  0.000000  0.962341  16.621602  -0.000000  0.000000
12  -1.00  0.72  0.00  30  -32.658430  -3.267585  7.770295  8.851307  -0.000000  0.000000  0.957102  16.621602  0.000000  0.000000
12  -1.00  0.74  0.00  30  -32.810652  -2.346943  7.754170  7.754170  -1.135480  1.135480  0.957012  15.508340  1.270526  -0.000000
12  -1.00  0.76  0.00  30  -32.970652  -2.346943  7.754170  7.754170  -1.135480  1.135480  0.957012  15.508340  1.270526  -0.000000
12  -1.00  0.78  0.00  30  -33.130652  -2.346943  7.754170  7.754170  1.135480  -1.135480  0.957012  15.508340  -1.270526  0.000000
12  -1.00  0.80  0.00  30  -33.290652  -2.346943  7.754170  7.754170  1.135480  -1.135480  0.957012  15.508340  -1.270526  -0.000000
12  -1.00  0.82  0.00  30  -33.450652  -2.346943  7.754170  7.754170  -1.135480  1.135480  0.957012  15.508340  1.270526  -0.000000
12  -1.00  0.84  0.00  30  -33.610652  -2.346943  7.754170  7.754170  1.135480  -1.135480  0.957012  15.508340  -1.270526  0.000000
12  -1.00  0.86  0.00  30  -33.770652  -2.346943  7.754170  7.754170  1.135480  -1.135480  0.957012  15.508340  -1.270526  -0.000000
12  -1.00  0.88  0.00  30  -33.930652  -2.346943  7.754170  7.754170  1.135480  -1.135480  0.957012  15.508340  -1.270526  -0.000000
12  -1.00  0.90  0.00  30  -34.090694  -1.302792  7.356070  6.874591  0.000000  -0.000000  0.954686  14.230661  0.000000  -0.000000
12  -1.00  0.92  0.00  30  -34.290694  -1.302792  7.356070  6.874591  -0.000000  0.000000  0.954686  14.230661  -0.000000  0.000000
12  -1.00  0.94  0.00  30  -34.490694  -1.302792  6.874591  7.356070  0.000000  -0.000000  0.951512  14.230661  0.000000  -0.000000
12  -1.00  0.96  0.00  30  -34.690694  -1.302792  7.356070  6.874591  0.000000  -0.000000  0.954686  14.230661  -0.000000  0.000000
12  -1.00  0.98  0.00  30  -34.890694  -1.302792  6.874591  7.356070  0.000000  -0.000000  0.951512  14.230661  0.000000  -0.000000
12  -1.00  1.00  0.00  30  -35.090694  -1.302792  6.874591  7.356070  0.000000  -0.000000  0.951512  14.230661  0.000000  -0.000000
12  -1.00  1.02  0.00  30  -35.290694  -1.302792  7.356070  6.874591  -0.000000  -0.000000  0.954686  14.230661  -0.000000  -0.000000
12  -1.00  1.04  0.00  30  -35.490694  -1.302792  6.874591  7.356070  0.000000  -0.000000  0.951512  14.230661  0.000000  0.000000
12  -1.00  1.06  0.00  30  -35.690694  -1.302792  6.874591  7.356070  0.000000  -0.000000  0.951512  14.230661  -0.000000  0.000000
12  -1.00  1.08  0.00  30  -35.909285  -0.116082  6.400219  6.400219  0.557508  -0.557508  0.947918  12.800438  -1.632835  -0.000000
12  -1.00  1.10  0.00  30  -36.149285  -0.116082  6.400219  6.400219  0.557508  -0.557508  0.947918  12.800438  -1.632835  -0.000000
12  -1.00  1.12  0.00  30  -36.389285  -0.116082  6.400219  6.400219  0.557508  -0.557508  0.947918  12.800438  -1.632835  0.000000
12  -1.00  1.14  0.00  30  -36.629285  -0.116082  6.400219  6.400219  0.557508  -0.557508  0.947918  12.800438  -1.632835  -0.000000
12  -1.00  1.16  0.00  30  -36.869285  -0.116082  6.400219  6.400219  0.557508  -0.557508  0.947918  12.800438  -1.632835  -0.000000
12  -1.00  1.18  0.00  30  -37.109285  -0.116082  6.400219  6.400219  -0.557508  0.557508  0.947918  12.800438  1.632835  0.000000
12  -1.00  1.20  0.00  30  -37.349285  -0.116082  6.400219  6.400219  0.557508  -0.557508  0.947918  12.800438  -1.632835  -0.000000
12  -1.00  1.22  0.00  30  -37.589285  -0.116082  6.400219  6.400219  -0.557508  0.557508  0.947918  12.800438  1.632835  0.000000
12  -1.00  1.24  0.00  30  -37.843173  1.222409  5.731621  5.503866  -0.000000  0.000000  0.941843  11.235487  -0.000000  -0.000000
12  -1.00  1.26  0.00  30  -38.123173  1.222409  5.731621  5.503866  -0.000000  0.000000  0.941843  11.235487  -0.000000  -0.000000
12  -1.00  1.28  0.00  30  -38.403173  1.222409  5.503866  5.731621  -0.000000  0.000000  0.939437  11.235487  -0.000000  -0.000000
12  -1.00  1.30  0.00  30  -38.683173  1.222409  5.503866  5.731621  -0.000000  0.000000  0.939437  11.235487  -0.000000  0.000000
12  -1.00  1.32  0.00  30  -38.963173  1.222409  5.731621  5.503866  0.000000  -0.000000  0.941843  11.235487  0.000000  0.000000
12  -1.00  1.34  0.00  30  -39.243173  1.222409  5.731621  5.503866  -0.000000  0.000000  0.941843  11.235487  -0.000000  -0.000000
12  -1.00  1.36  0.00  30  -39.523173  1.222409  5.503866  5.731621  0.000000  -0.000000  0.939437  11.235487  0.000000  0.000000
12  -1.00  1.38  0.00  30  -39.803173  1.222409  5.731621  5.503866  0.000000  0.000000  0.941843  11.235487  0.000000  -0.000000
12  -1.00  1.40  0.00  30  -40.110141  2.716084  4.776588  4.776588  -0.213945  0.213945  0.930215  9.553177  1.839328  -0.000000
12  -1.00  1.42  0.00  30  -40.430141  2.716084  4.776588  4.776588  0.213945  -0.213945  0.930215  9.553177  -1.839328  0.000000
12  -1.00  1.44  0.00  30  -40.750141  2.716084  4.776588  4.776588  0.213945  -0.213945  0.930215  9.553177  -1.839328  -0.000000
12  -1.00  1.46  0.00  30  -41.070141  2.716084  4.776588  4.776588  -0.213945  0.213945  0.930215  9.553177  1.839328  0.000000
12  -1.00  1.48  0.00  30  -41.390141  2.716084  4.776588  4.776588  -0.213945  0.213945  0.930215  9.553177  1.839328  0.000000
12  -1.00  1.50  0.00  30  -41.710141  2.716084  4.776588  4.776588  -0.213945  0.213945  0.930215  9.553177  1.839328  0.000000
16  -1.00  0.20  0.00  40  -40.968959  -8.283350  13.092025  13.092025  10.473452  -10.473452  0.974539  26.184050  0.000000  0.000000
16  -1.00  0.22  0.00  40  -40.968959  -8.283350  13.092025  13.092025  -10.473452  10.473452  0.974539  26.184050  -0.000000  0.000000
16  -1.00  0.24  0.00  40  -40.968959  -8.283350  13.092025  13.092025  -10.473452  10.473452  0.974539  26.184050  -0.000000  0.000000
16  -1.00  0.26  0.00  40  -40.968959  -8.283350  13.092025  13.092025  10.473452  -10.473452  0.974539  26.184050  0.000000  0.000000
16  -1.00  0.28  0.00  40  -40.968959  -8.283350  13.092025  13.092025  -10.473452  10.473452  0.974539  26.184050  -0.000000  -0.000000
16  -1.00  0.30  0.00  40  -41.008654  -7.031923  11.180210  13.821040  0.000000  -0.000000  0.970185  25.001250  -0.000000  0.000000
16  -1.00  0.32  0.00  40  -41.048654  -7.031923  11.180210  13.821040  0.000000  -0.000000  0.970185  25.001250  -0.000000  0.000000
