flipp_up  flipp_bot  mag  E_up  E_bot
9.671888521300578e-8  0.02946390160448636  0.9968893672303063  -0.496881005461471  0.4968876545881636
6.078838722706106e-9  9.497921717238889e-8  0.9736464056867866  -0.47053435854294623  0.47053401609545736
6.180599522516891e-11  8.757137940246924e-11  0.9351547903373083  -0.4057079507869867  0.40570792849574994
0.06483667376860591  1.6991844896781436e-6  0.8941095059435132  -0.3000057021208223  0.3000056563583024
6.494896321811856e-6  0.09118977860479666  0.8627560082587181  -0.16390100713555833  0.16390098320378216
6.94156154790243e-8  6.2032967275510755e-6  0.8481204341889783  -0.016617976757814564  0.01661797398505335
1.7508553335792023e-12  5.872850389471728e-13  0.8498268181142528  0.11976448297579478  -0.11976448745294582
0.10579634137530432  2.1266683282177715e-6  0.8612815653102922  0.22560564233504277  -0.2256056418333655
9.09898050253595e-5  0.17063069527921343  0.8735191662651391  0.2870820952589723  -0.2870820961881297
3.043109123701143e-8  8.246031162809522e-5  0.8796170961607976  0.2977373534579283  -0.2977373619552453
8.148549844933643e-14  9.224296466341424e-14  0.8775168659720733  0.2588433041320737  -0.2588433686391457
0.13667427179757266  1.0784539572679706e-8  0.8700554466111928  0.17896763538563337  -0.17896760554667454
0.0006279597453149548  0.24245892131423039  0.862515955444019  0.07268024665894984  -0.07268069459892763
5.996578421322746e-8  0.0005338073190565912  0.8593381929054562  -0.04170261111966999  0.04170258066664168
9.64204991174065e-14  1.6900247504177399e-13  0.8617659949041457  -0.1451284350291931  0.14512846366102886
0.14958125937528116  5.846384599060959e-9  0.8675832529123557  -0.22096486843890747  0.22096513147967178
0.00278889041531552  0.28621963006221707  0.8728522624897002  -0.2576058610792435  0.25760577496455495
2.9884937155158644e-8  0.00221917704149232  0.874421597524738  -0.25012499787921644  0.2501251349404962
7.857560038120939e-13  1.2650795342731982e-12  0.8716986291619095  -0.2008443566709077  0.20084429186706584
0.14327764135037535  4.406269233406207e-9  0.8667529802435957  -0.11882929292329385  0.11882919046482864
0.009057761055334528  0.2927799164183296  0.8628298295599712  -0.018355037627466403  0.018355024758490813
1.2300641017492521e-8  0.006759555153179065  0.8622921463260962  0.08347851062785329  -0.08347835249180455
3.1274683153128755e-13  2.6327128358342e-13  0.8652428084841038  0.16962251263046876  -0.16962254382460001
0.12227858940166252  1.8050597743299154e-9  0.8696160879824414  0.22591289405834658  -0.22591305516940735
0.023142880811082806  0.2654214087368105  0.8725786321502219  0.24335061172021175  -0.24335061190869306
7.194027916566085e-9  0.016248228154808534  0.8723264263548639  0.21947234658944012  -0.21947235085174335
8.713935556617539e-13  1.3733248196077978e-12  0.8691530056421656  0.15867186218935522  -0.1586718591443345
0.09397252252250832  2.8321117497923067e-9  0.8651823318381963  0.07144002415621571  -0.0714400218669111
0.048713727273231255  0.21606603121119036  0.8629715874046887  -0.027378853540724644  0.027378847920766967
7.787194207953793e-9  0.03227919567911814  0.8638913104424473  -0.12107226091125473  0.12107225872097595
